Dataset size,Model,Aggregation method,Aggregation method parameters,AUPRC_Mean,AUPRC_Std,AUROC_Mean,AUROC_Std,AP@T_Mean,AP@T_Std,AP@T (two or more label errors)_Mean,AP@T (two or more label errors)_Std,AP@T (three or more label errors)_Mean,AP@T (three or more label errors)_Std,Spearman Rank Correlation_Mean,Spearman Rank Correlation_Std
Small Dataset,Random Forest,Cumulative,{'k': 4},0.59065,0.09052,0.81632,0.05496,0.60466,0.09996,0.2124,0.13526,0.07235,0.1399,0.5251,0.09028
Small Dataset,Random Forest,EMA,0.2,0.58813,0.09371,0.81551,0.05776,0.59833,0.10477,0.1927,0.12306,0.05917,0.10096,0.52271,0.09439
Small Dataset,Random Forest,EMA,0.4,0.63238,0.09034,0.8446,0.05132,0.64639,0.09707,0.24318,0.14524,0.07778,0.14803,0.56926,0.08393
Small Dataset,Random Forest,EMA,0.5,0.64912,0.08826,0.85381,0.04954,0.66604,0.09319,0.27301,0.14509,0.08826,0.1731,0.58358,0.08086
Small Dataset,Random Forest,EMA,0.6,0.66578,0.08591,0.86168,0.04814,0.68629,0.08898,0.30818,0.13816,0.16519,0.20976,0.59557,0.0783
Small Dataset,Random Forest,EMA,0.8,0.70281,0.08112,0.87502,0.04648,0.73427,0.0784,0.39165,0.12243,0.34807,0.33097,0.61493,0.0744
Small Dataset,Random Forest,EMA,0.85,0.71331,0.08022,0.87792,0.04629,0.74834,0.0758,0.41574,0.11641,0.3418,0.32689,0.6188,0.07367
Small Dataset,Random Forest,EMA,0.9,0.72498,0.07935,0.88062,0.0462,0.76418,0.07295,0.43673,0.11257,0.3546,0.3109,0.62214,0.07305
Small Dataset,Random Forest,EMA,0.95,0.73878,0.07878,0.88319,0.04623,0.78309,0.0704,0.44855,0.10085,0.31234,0.34983,0.62493,0.07254
Small Dataset,Random Forest,Log,"{'weights': 1, 'biases': 0}",0.70328,0.08281,0.86485,0.04792,0.74556,0.07919,0.4,0.08526,0.19199,0.16242,0.59863,0.07615
Small Dataset,Random Forest,Max,{},0.36578,0.03499,0.53793,0.02506,0.42447,0.05636,0.13454,0.07072,0.04095,0.06784,0.07377,0.04544
Small Dataset,Random Forest,Mean,{},0.59067,0.09054,0.81633,0.05498,0.60467,0.09996,0.21248,0.13552,0.07235,0.1399,0.52512,0.0903
Small Dataset,Random Forest,Median,{},0.47646,0.06577,0.66903,0.02616,0.5435,0.08678,0.21702,0.12251,0.29363,0.32543,0.29772,0.05041
Small Dataset,Random Forest,Min,{},0.75819,0.07989,0.88559,0.04638,0.81071,0.06929,0.20676,0.02356,0.02374,0.03941,0.62683,0.07198
Small Dataset,Random Forest,SMA,{'k': 1},0.59065,0.09052,0.81632,0.05496,0.60466,0.09996,0.2124,0.13526,0.07235,0.1399,0.5251,0.09028
Small Dataset,Random Forest,SMA,{'k': 2},0.55579,0.08322,0.78418,0.05297,0.57999,0.09483,0.2122,0.13336,0.08256,0.13729,0.47552,0.08741
Small Dataset,Random Forest,SMA,{'k': 3},0.55583,0.08325,0.78421,0.05299,0.58,0.09484,0.21202,0.13337,0.08442,0.13967,0.47558,0.08743
Small Dataset,Random Forest,SMA,{'k': 4},0.59065,0.09052,0.81632,0.05496,0.60466,0.09996,0.2124,0.13526,0.07235,0.1399,0.5251,0.09028
Small Dataset,Random Forest,Softmin,{'temperature': 0.01},0.76556,0.07984,0.88594,0.04644,0.8201,0.0685,0.1382,0.03841,0.0,0.0,0.62696,0.07195
Small Dataset,Random Forest,Softmin,{'temperature': 0.1},0.7719,0.07994,0.88693,0.04658,0.82881,0.06806,0.11156,0.05069,0.0,0.0,0.62746,0.0719
Small Dataset,Random Forest,Softmin,{'temperature': 100},0.59167,0.09079,0.81707,0.05494,0.60534,0.10023,0.21363,0.13523,0.07235,0.1399,0.52628,0.09024
Small Dataset,Random Forest,Softmin,{'temperature': 10},0.59714,0.09109,0.82117,0.05454,0.61031,0.10026,0.21798,0.13734,0.07235,0.1399,0.53275,0.08952
Small Dataset,Random Forest,Softmin,{'temperature': 1},0.64776,0.08912,0.85341,0.04961,0.66428,0.09613,0.27486,0.14096,0.10539,0.14293,0.58286,0.08074
Small Dataset,Random Forest,Weighted,weights: exponential decay,0.70264,0.08116,0.87506,0.04649,0.734,0.07857,0.38431,0.12215,0.34328,0.32532,0.61494,0.0744
Large Dataset,Logistic Regression,Cumulative,{'k': 1},0.8536,0.00946,0.788,0.01646,0.88061,0.00923,0.53693,0.02666,0.21884,0.02649,0.51285,0.02952
Large Dataset,Logistic Regression,Cumulative,{'k': 2},0.82437,0.01371,0.74517,0.00789,0.85595,0.00804,0.67694,0.0189,0.3681,0.02593,0.51008,0.0134
Large Dataset,Logistic Regression,Cumulative,{'k': 3},0.79759,0.01852,0.71252,0.007,0.82731,0.01266,0.61144,0.01323,0.42954,0.03625,0.44979,0.01208
Large Dataset,Logistic Regression,Cumulative,{'k': 4},0.77864,0.02113,0.69045,0.00682,0.80588,0.0158,0.55029,0.01417,0.31752,0.02612,0.39965,0.01201
Large Dataset,Logistic Regression,EMA,0.2,0.76205,0.02386,0.67622,0.00606,0.78454,0.0198,0.48891,0.02022,0.24403,0.01712,0.36199,0.0099
Large Dataset,Logistic Regression,EMA,0.4,0.78422,0.0199,0.70734,0.00694,0.80763,0.0154,0.53275,0.0135,0.28533,0.02113,0.42603,0.01103
Large Dataset,Logistic Regression,EMA,0.5,0.79636,0.01794,0.72327,0.00764,0.82051,0.01345,0.5584,0.01226,0.3075,0.02441,0.45796,0.01197
Large Dataset,Logistic Regression,EMA,0.6,0.8088,0.01605,0.73899,0.00859,0.83365,0.01178,0.58748,0.01196,0.33544,0.02711,0.48746,0.01341
Large Dataset,Logistic Regression,EMA,0.8,0.83297,0.01249,0.76765,0.01168,0.85813,0.00946,0.64871,0.01376,0.43305,0.02889,0.52768,0.01972
Large Dataset,Logistic Regression,EMA,0.85,0.8385,0.01168,0.77401,0.0128,0.86354,0.0093,0.66121,0.01413,0.43827,0.02533,0.53151,0.02222
Large Dataset,Logistic Regression,EMA,0.9,0.84375,0.01094,0.77994,0.01405,0.86901,0.00932,0.66675,0.01439,0.41263,0.02035,0.53159,0.02506
Large Dataset,Logistic Regression,EMA,0.95,0.84879,0.01023,0.78504,0.01536,0.87478,0.00927,0.65421,0.01388,0.35454,0.01848,0.52629,0.02789
Large Dataset,Logistic Regression,Log,"{'weights': 1, 'biases': 0}",0.77252,0.02042,0.69329,0.0078,0.79462,0.01694,0.50076,0.0168,0.24973,0.0173,0.39552,0.01234
Large Dataset,Logistic Regression,Max,{},0.64227,0.03034,0.50313,0.00363,0.64379,0.02926,0.27179,0.02397,0.08086,0.01373,0.00573,0.00637
Large Dataset,Logistic Regression,Mean,{},0.73549,0.02616,0.62983,0.00597,0.7598,0.02225,0.45127,0.02351,0.21408,0.01731,0.26716,0.01022
Large Dataset,Logistic Regression,Median,{},0.67352,0.02674,0.53612,0.00504,0.68836,0.02314,0.34642,0.0181,0.14427,0.0096,0.07479,0.0097
Large Dataset,Logistic Regression,Min,{},0.8536,0.00946,0.788,0.01646,0.88061,0.00923,0.53693,0.02666,0.21884,0.02649,0.51285,0.02952
Large Dataset,Logistic Regression,SMA,{'k': 1},0.73549,0.02616,0.62983,0.00597,0.7598,0.02225,0.45127,0.02351,0.21408,0.01731,0.26716,0.01022
Large Dataset,Logistic Regression,SMA,{'k': 2},0.73351,0.02647,0.62502,0.00602,0.75862,0.02244,0.45038,0.02366,0.2137,0.01731,0.25944,0.01043
Large Dataset,Logistic Regression,SMA,{'k': 3},0.73158,0.02673,0.62055,0.00606,0.75734,0.02265,0.44936,0.02387,0.21313,0.01732,0.25083,0.01064
Large Dataset,Logistic Regression,SMA,{'k': 4},0.72986,0.02693,0.61678,0.00606,0.75611,0.02282,0.44821,0.02403,0.21254,0.01741,0.24305,0.01071
Large Dataset,Logistic Regression,Softmin,{'temperature': 0.01},0.85268,0.00963,0.78732,0.01651,0.87952,0.00936,0.51519,0.032,0.1858,0.02979,0.50938,0.0295
Large Dataset,Logistic Regression,Softmin,{'temperature': 0.1},0.86413,0.00614,0.79597,0.01625,0.89326,0.00616,0.46597,0.02747,0.1284,0.01914,0.51372,0.03083
Large Dataset,Logistic Regression,Softmin,{'temperature': 100},0.73565,0.02615,0.63013,0.00597,0.75995,0.02224,0.45144,0.0235,0.2142,0.01727,0.26778,0.01021
Large Dataset,Logistic Regression,Softmin,{'temperature': 10},0.73708,0.02604,0.63283,0.00598,0.76122,0.02214,0.45312,0.02342,0.21529,0.01723,0.27332,0.01019
Large Dataset,Logistic Regression,Softmin,{'temperature': 1},0.75099,0.02471,0.6595,0.00613,0.77315,0.02108,0.46843,0.02239,0.22496,0.01732,0.32784,0.0101
Large Dataset,Logistic Regression,Weighted,weights: exponential decay,0.82956,0.01296,0.76498,0.01141,0.85417,0.0099,0.6333,0.01381,0.40478,0.02878,0.52379,0.01899
Large Dataset,Random Forest,Cumulative,{'k': 1},0.78966,0.01217,0.73045,0.01964,0.80801,0.01105,0.4494,0.01844,0.16608,0.02287,0.4175,0.03468
Large Dataset,Random Forest,Cumulative,{'k': 2},0.78352,0.01493,0.70789,0.01121,0.80791,0.01062,0.51297,0.01127,0.22656,0.02247,0.42595,0.02125
Large Dataset,Random Forest,Cumulative,{'k': 3},0.77247,0.01819,0.68722,0.00846,0.79859,0.01297,0.51111,0.01013,0.24722,0.0178,0.39006,0.01513
Large Dataset,Random Forest,Cumulative,{'k': 4},0.76368,0.02062,0.67278,0.00735,0.78968,0.01538,0.49901,0.01194,0.24267,0.01732,0.35817,0.0133
Large Dataset,Random Forest,EMA,0.2,0.75677,0.0234,0.66616,0.00635,0.78033,0.01919,0.47995,0.01879,0.23298,0.01451,0.34005,0.01076
Large Dataset,Random Forest,EMA,0.4,0.76891,0.01957,0.68526,0.00836,0.79225,0.01513,0.49722,0.01208,0.24254,0.0154,0.37756,0.01448
Large Dataset,Random Forest,EMA,0.5,0.77477,0.01771,0.69491,0.00984,0.79772,0.01339,0.50337,0.01032,0.24372,0.01842,0.39538,0.01723
Large Dataset,Random Forest,EMA,0.6,0.78017,0.01602,0.70407,0.0115,0.80254,0.01203,0.50707,0.01034,0.24232,0.02053,0.41079,0.02033
Large Dataset,Random Forest,EMA,0.8,0.78896,0.01339,0.71975,0.01537,0.80966,0.01068,0.50721,0.01254,0.23428,0.02258,0.42871,0.02752
Large Dataset,Random Forest,EMA,0.85,0.79061,0.01287,0.72301,0.01645,0.81069,0.01061,0.50473,0.01334,0.22941,0.02287,0.42941,0.02948
Large Dataset,Random Forest,EMA,0.9,0.79198,0.01245,0.726,0.01756,0.81149,0.01073,0.49964,0.01402,0.2221,0.0233,0.42809,0.03142
Large Dataset,Random Forest,EMA,0.95,0.7933,0.01197,0.72874,0.01866,0.81244,0.01076,0.49009,0.01452,0.21326,0.02394,0.42459,0.03325
Large Dataset,Random Forest,Log,"{'weights': 1, 'biases': 0}",0.77082,0.01893,0.68555,0.00867,0.79521,0.01459,0.48657,0.0167,0.22086,0.02226,0.37427,0.01443
Large Dataset,Random Forest,Max,{},0.6391,0.03092,0.50015,0.00172,0.63864,0.03196,0.2651,0.02955,0.07702,0.01097,0.00092,0.00654
Large Dataset,Random Forest,Mean,{},0.75018,0.02581,0.65089,0.00631,0.77669,0.02157,0.47336,0.02397,0.22948,0.01782,0.3087,0.01086
Large Dataset,Random Forest,Median,{},0.66924,0.02909,0.54014,0.00417,0.6812,0.02707,0.32928,0.02833,0.12125,0.01622,0.08338,0.00818
Large Dataset,Random Forest,Min,{},0.78966,0.01217,0.73045,0.01964,0.80801,0.01105,0.4494,0.01844,0.16608,0.02287,0.4175,0.03468
Large Dataset,Random Forest,SMA,{'k': 1},0.75015,0.02582,0.65089,0.00631,0.77666,0.02157,0.47333,0.02399,0.22943,0.01781,0.30869,0.01087
Large Dataset,Random Forest,SMA,{'k': 2},0.74825,0.02618,0.64628,0.00644,0.77552,0.0218,0.47267,0.02414,0.22918,0.01768,0.30138,0.01131
Large Dataset,Random Forest,SMA,{'k': 3},0.74642,0.02648,0.64218,0.00654,0.77428,0.02207,0.47172,0.02439,0.22872,0.01759,0.29355,0.01166
Large Dataset,Random Forest,SMA,{'k': 4},0.74484,0.0267,0.63876,0.00659,0.77316,0.02227,0.47072,0.02463,0.22828,0.01755,0.28656,0.01181
Large Dataset,Random Forest,Softmin,{'temperature': 0.01},0.79194,0.0119,0.72985,0.01995,0.81022,0.01127,0.42836,0.02353,0.13667,0.02536,0.4118,0.03508
Large Dataset,Random Forest,Softmin,{'temperature': 0.1},0.80615,0.00942,0.73947,0.0209,0.82791,0.00961,0.42649,0.01833,0.12635,0.02236,0.42475,0.03735
Large Dataset,Random Forest,Softmin,{'temperature': 100},0.75031,0.02579,0.65107,0.00631,0.77679,0.02155,0.47348,0.02395,0.22953,0.01776,0.30905,0.01086
Large Dataset,Random Forest,Softmin,{'temperature': 10},0.7509,0.02568,0.6526,0.0063,0.77704,0.02148,0.47357,0.02386,0.22959,0.01779,0.31217,0.01079
Large Dataset,Random Forest,Softmin,{'temperature': 1},0.7557,0.02432,0.66519,0.00631,0.77907,0.02049,0.47471,0.02191,0.22831,0.01628,0.33755,0.01051
Large Dataset,Random Forest,Weighted,weights: exponential decay,0.78789,0.01369,0.71833,0.01504,0.80853,0.01087,0.50618,0.0121,0.23471,0.02268,0.42684,0.0268
